Formula	Adduct	Multiplier
'C62H96O6'	'K'	0.272585500233452
'C12H8O5'	'H'	0.915623498362524
'C85H138O17P2'	'H'	0.563370776033723
'C35H54O8'	'Na'	0.999078679930748
'C6H9NO3'	'Na'	0.439595798902217
'C45H81O13P'	'Na'	0.285500780305665
'C26H32F2O7'	'H'	0.756952032452245
'C17H22O11'	'K'	0.382092105972641
'C36H38N4O12'	'H'	0.205822833082774
'C25H31NO4'	'H'	0.899745033674410
'C5H11NS2'	'H'	0.723810608220845
'C30H32O20'	'H'	0.945910127370301
'C17H26N6O4'	'Na'	0.475450585366625
'C26H31NO5'	'Na'	0.834193765179173
'C3H7NO2S'	'H'	0.824358417929232
'C18H35NO3'	'K'	0.424363849317730
'C5H10N2S2'	'K'	0.922432728618233
'C41H78NO8P'	'K'	0.359484249254279
'C18H12O8'	'H'	0.248501675730444
'C23H23N3O5'	'K'	0.510276259144351
'C30H52O26'	'K'	0.318535583898356
'C14H11Cl2NO4'	'K'	0.101729847298088
'C62H106O5'	'K'	0.653808588802715
'C23H27Cl2N3O2'	'K'	0.695105074599421
'C31H64'	'Na'	0.694302785283643
'C25H46O2'	'H'	0.712427655180266
'C17H27N3O20P2S'	'Na'	0.865584705531679
'C12H18N2O2'	'H'	0.133583021587829
'C14H20O'	'H'	0.712697676400484
'C18H39N3O'	'K'	0.614023841086100
'C41H81O19P3'	'H'	0.721193297811410
'C8H14OS2'	'H'	0.906009798925474
'C20H34O3'	'H'	0.340176063184985
'C29H30O12'	'Na'	0.161699147531389
'C21H44NO6P'	'Na'	0.382241316344895
'C79H124O42'	'H'	0.810261564238631
'C62H100O6'	'K'	0.548505840760032
'C13H16N2'	'Na'	0.493329466806883
'C2H3ClO'	'K'	0.251565128585465
'C18H23N3O6'	'Na'	0.338106409001016
'C26H44O2'	'Na'	0.715493425018954
'C57H106O6'	'H'	0.834973665878586
'C38H69NO13'	'H'	0.734968890927335
'C5H4N4O2S'	'Na'	0.618885003503913
'C48H28O30'	'H'	0.994656243664290
'C16H13ClO6'	'K'	0.515073942899819
'C12H5Br5O'	'H'	0.544017925001290
'C16H19NO5'	'K'	0.346563718647498
'C6H9N3O2'	'Na'	0.689592598064118
'C17H24BrNO3'	'K'	0.466351383168269
'C28H24O15'	'K'	0.369966824472292
'C11H14ClNO'	'H'	0.644892014810055
'C68H122O6'	'Na'	0.812055944831961
'C53H102O6'	'Na'	0.973804211091191
'C5H8N2O3'	'K'	0.796045444584947
'C6H11NO4'	'K'	0.639983538718831
'C12H11ClN6O2S2'	'H'	0.504161769505952
'C47H78O2'	'H'	0.238125493145318
'C89H152O17P2'	'Na'	0.290109702821948
'C21H26O9'	'H'	0.730314137161351
'C3H11NO7P2'	'Na'	0.960563967530399
'C12H14Cl2N2'	'Na'	0.671921798400103
'C14H19N2O7P'	'H'	0.902144045243796
'C14H13NO'	'H'	0.294656512328247
'C19H24N2O3'	'K'	0.715189334918592
'C22H31NO'	'K'	0.383552757463839
'C62H102N4O47'	'Na'	0.122847922242063
'C28H50N2O19P2'	'K'	0.838224134249301
'C18H37NO'	'H'	0.489401829209519
'C33H47NO13'	'K'	0.179835951326183
'C16H20O8'	'K'	0.941575592308139
'C64H100O6'	'Na'	0.451699134401805
'C12H18N2O5'	'H'	0.629138481809545
'C10H28Cl2N2OP2'	'Na'	0.315852347220424
'C7H16S3'	'H'	0.688208504232010
'C23H36N2O2'	'H'	0.429879235265133
'C61H106O6'	'H'	0.533124939346697
'C5H12N4O3'	'K'	0.461517007921375
'C47H88O16P2'	'H'	0.400417789737285
'C37H30O16'	'H'	0.340826831570192
'C10H21N3O4'	'H'	0.791058667275590
'C24H17N3O7S3'	'Na'	0.316343727052146
'C37H40N4O11'	'H'	0.965149445424985
'C16H13NO5'	'K'	0.931196135249408
'C28H56O'	'H'	0.346822221705358
'C28H40O2'	'H'	0.300951082781100
'C20H18O8'	'H'	0.326911206593948
'C29H32O13'	'Na'	0.322294078267811
'C29H53NO5'	'H'	0.315618739299055
'C42H72O5'	'K'	0.485425864724308
'C16H28N4O4S'	'H'	0.843333298217431
'C52H98O6'	'H'	0.655467617228717
'C13H16N10O5S'	'H'	0.274486962046358
'C9H11IN2O5'	'H'	0.827273302562664
'C9H10N2'	'H'	0.987070774829445
'C81H141N3O39'	'Na'	0.233742203588068
'C24H28O7'	'K'	0.867727727237082
'C10H18N2O8'	'Na'	0.314741755391177
'C56H82O20'	'H'	0.475246495696574
'C45H44O9'	'H'	0.390159912112354
'C51H96O15'	'K'	0.490634775333194
'C12H14'	'K'	0.394681340471221
'C23H40N2O18'	'Na'	0.189071904373440
'C52H82O22'	'H'	0.704056959848432
'C21H25ClN2O3'	'K'	0.144422826225346
'C21H43N5O7'	'Na'	0.280896296923050
'C8H17NO2'	'H'	0.549223234540524
'C14H27N4O10P2'	'K'	0.347877386180416
'C40H64'	'H'	0.477643530366918
'C44H81N3O15P2'	'H'	0.637293593786600
'C42H74O2'	'K'	0.144230418490038
'C33H46O3'	'Na'	0.898011487536880
'C14H15O2PS2'	'Na'	0.872469250251420
'C9H12O6S'	'K'	0.176555395041891
'C15H22FN3O6'	'K'	0.259675095902588
'C32H53N2O4'	'K'	0.112058668723056
'C3H9O6P'	'H'	0.630986892434084
'C9H20O'	'K'	0.737075794150638
'C17H25ClO2'	'Na'	0.783030303428721
'C18H26ClN3O'	'Na'	0.292574164329633
'C57H86O3'	'H'	0.969550541953247
'C82H150O17P2'	'K'	0.535950075180909
'C17H20O3'	'Na'	0.156221290969158
'C18H36O'	'Na'	0.260613278005845
'C20H18O4'	'K'	0.404437044755399
'C27H56NO7P'	'H'	0.892433975550824
'C36H54O33'	'H'	0.138448493074241
'C2HCl3'	'Na'	0.419866674775968
'C22H18O9'	'Na'	0.676665392246884
'C3H8O'	'K'	0.845095336728847
'C17H32O11'	'K'	0.140160713119181
'C48H78O17'	'K'	0.811743070751617
'C12H16N5O8P'	'H'	0.146035594980727
'C33H58O14'	'H'	0.366783262956544
'C24H38N7O17P3S'	'H'	0.344928143106106
'C20H28N2O3'	'K'	0.922108430325656
'C42H74O13P2'	'K'	0.644920385833471
'C33H50N4O6S'	'K'	0.551995706180691
'C16H16O9'	'H'	0.762940403848798
'C42H71O10P'	'K'	0.200910852644845
'C44H80NO7P'	'H'	0.896040896187364
'C33H57NO8'	'H'	0.576595607837040
'C10H19N3O4S'	'Na'	0.104944529444926
'C21H26ClNO'	'H'	0.246581122612017
'C12H14O7S'	'Na'	0.336093447294236
'C10H14N4O4'	'K'	0.134982847326370
'C37H70O5'	'Na'	0.713858023928470
'C39H62N7O18P3S'	'K'	0.125376817698276
'C14H26O4'	'H'	0.549954286561355
'C15H12ClNO2'	'K'	0.532625441103529
'C26H38O12'	'K'	0.350675966242738
'C15H23N3O3'	'K'	0.631442541238289
'C7H11N3O'	'H'	0.358674353417112
'C54H86O26'	'Na'	0.927951687076778
'C25H49NO3'	'Na'	0.105457460463670
'C27H20O18'	'K'	0.608077340444439
'C25H34O7S'	'Na'	0.431823089154827
'C98H174N4O42'	'K'	0.434224681608455
'C33H58N7O17P3S'	'Na'	0.119074889136385
'C33H46O15'	'H'	0.718525578428608
'C60H56N2O13'	'H'	0.599107369460576
'C5H4N4O'	'K'	0.788892211663789
'C26H28O16'	'H'	0.812205063614116
'C20H22N2'	'Na'	0.321904774500571
'C50H88O'	'Na'	0.279825986014593
'C9H15NO3S'	'H'	0.430245152359465
'C15H10Cl2N2O2'	'Na'	0.747614822277628
'C20H24O9'	'Na'	0.212828339020167
'C14H23N3O8S'	'H'	0.486904812262531
'C61H102O6'	'K'	0.114718138047905
'C36H32O15'	'H'	0.163918142389850
'C21H29FO5'	'H'	0.739275492262519
'C44H84NO7P'	'H'	0.822653039914048
'C29H43O2'	'Na'	0.919176959471223
'C108H182O91'	'H'	0.920911325745979
'C18H18N2O7'	'Na'	0.666582559597416
'C5H5N'	'H'	0.218344415283555
'C13H28O2'	'H'	0.155922856550155
'C30H26O13'	'K'	0.799789442682916
'C56H40O32'	'H'	0.767934560257936
'C8H12N4'	'Na'	0.663336310274343
'C5H11NO3'	'K'	0.756187009009217
'C6H2Cl2O4'	'Na'	0.282712923606401
'C48H64N11O18'	'K'	0.815495325807099
'C30H53N3O6'	'K'	0.977114052967563
'C7H6O6S'	'Na'	0.478129744395964
'C69H132O5'	'Na'	0.321148530982722
'C29H28F3NO12'	'H'	0.532109809013541
'C38H65NO29'	'K'	0.702075180819519
'C49H58O29'	'H'	0.867138208436014
'C22H30O2'	'H'	0.950790357807056
'C27H20N4O9S2'	'K'	0.215859037009901
'C29H31F2N3O'	'Na'	0.726980727817081
'C8H12O2'	'K'	0.172075730510569
'C73H129N3O31'	'Na'	0.193206386044555
'C10H19NS2'	'H'	0.218078527222694
'C11H19N3O6S'	'H'	0.563549859177868
'C6H12S3'	'K'	0.533602975846766
'C9H4Cl3NO2S'	'Na'	0.501295062450237
'C18H32O3'	'Na'	0.818359213696245
'C21H27N3O7S'	'Na'	0.576044422187881
'C63H114N2O21'	'H'	0.701959357623066
'C18H15N3O8S2'	'H'	0.535003828676930
'C10H8N2O2'	'K'	0.399418304451317
'C8H12NO6P'	'K'	0.332921487845187
'C11H16N2'	'H'	0.976332438061521
'C3H7N3O2'	'H'	0.337924265357507
'C7H6N2'	'H'	0.810946764895576
'C3H4Br2O'	'H'	0.547362029041181
'C26H42O3'	'Na'	0.388706738563369
'C9H12N2O5'	'Na'	0.654654510001244
'C16H15NO5'	'K'	0.106204734908903
'C52H86O20'	'Na'	0.156640288310650
'C7H7NS'	'H'	0.928022471014996
'C41H72O2'	'Na'	0.915547325018038
'C24H26O12'	'H'	0.848383412778608
'CHNOS'	'H'	0.922307206190967
'C18H30O2'	'H'	0.711241884656292
'C15H22O6'	'H'	0.799352738458566
'C82H150N2O31'	'H'	0.724301151752595
'C65H118N2O21'	'H'	0.278970822825048
'C18H29N3O5'	'H'	0.507149439888160
'C28H24O17'	'H'	0.809998074008483
'C30H38O8'	'H'	0.101732091968675
'C13H18O2'	'H'	0.600019837499493
'C9H13NO3'	'K'	0.489923463906203
'C4H4O4'	'K'	0.152574351293340
'C42H70O16'	'Na'	0.497763864323829
'C14H17F3N2O3'	'H'	0.855634310919304
'C24H30O7'	'H'	0.656431008798699
'C35H54N7O19P3S'	'H'	0.767434651282604
'C78H124O42'	'K'	0.942073661366016
'C13H18O'	'K'	0.392779013144987
'C25H26O7'	'Na'	0.771392299558961
'C21H41O6P'	'H'	0.885608401668419
'C4H5NS'	'H'	0.489957318184118
'C10H18O'	'Na'	0.569403696210333
'C16H14F3N3O3S'	'K'	0.687393333533400
'C18H16O9'	'H'	0.522110311754833
'C14H19N5O4'	'H'	0.264969388017342
'C12H26NO2'	'Na'	0.303401968986244
'NO2'	'H'	0.470759881241490
'C7H8N4O2'	'K'	0.113762536899593
'C45H74O20'	'Na'	0.775603368886241
'C15H18N4O4'	'K'	0.155911075182349
