sf,adduct,mz,moc,spec,spat
C27H26O10,H,511.159872724,0.999575453493,0.796093185752,0.944356702074
C27H28O14,K,615.111053151,0.999625177717,0.63079132493,0.910652449674
C27H30O17,K,665.111444972,0.999564437612,0.624400308501,0.942174582914
C27H34O5,Na,461.229844514,0.999614412977,0.652637709612,0.947861970857
C27H35N3O6,K,536.215733441,0.999626481195,0.989625292126,0.975909373307
C27H56NO7P,H,538.386715324,0.999575453493,0.989919378933,0.933233881835
C28H22O12,K,589.074273711,0.999624741201,0.634787660059,0.940111781325
C28H24O15,K,639.074667641,0.999626625467,0.986461818425,0.943226007876
C28H30O12,H,559.181002094,0.999627775639,0.989986705055,0.991817439853
C28H50N2O19P2,K,819.211447429,0.999628633628,0.990568783774,0.997425161586
C28H56NO7P,Na,572.368659954,0.999474637681,0.808677107833,0.944892247227
C28H56O,H,409.440392104,0.999627775639,0.99176898076,0.99887819441
C29H28F3NO12,H,640.163635644,0.999590688156,0.993105221168,0.996284759074
C29H30O12,Na,593.162946724,0.999548472776,0.913595129495,0.94399498986
C29H32O13,Na,611.173511404,0.999627775639,0.989471185887,0.961898658895
C29H32O16,H,637.176300129,0.999629061141,0.956406371531,0.965311596571
C29H34O11,Na,581.199332234,0.99962561322,0.627844759475,0.956333566265
C29H34O17,H,655.186864809,0.999625177717,0.989389504134,0.998357088151
C29H53NO5,H,496.399649504,0.999625758162,0.962890740296,0.988478741881
C2H3BrO,H,122.94400365,0.999627345155,0.944882645367,0.991965257096
C30H24O13,Na,615.110911154,0.999625177717,0.98720792953,0.927207506196
C30H32O20,H,713.155958609,0.999629061141,0.992804250358,0.99818947543
C30H38O8,H,527.263943874,0.99962748876,0.989452741771,0.997684439503
C30H48O5,Na,511.339394964,0.999626481195,0.817394794102,0.978244534074
C30H50O4,K,513.334057651,0.999615236629,0.675297989557,0.971579758657
C30H52O26,K,867.237814184,0.999627918912,0.990805955494,0.999110260875
C30H53N3O6,K,590.356584021,0.999612252811,0.991980374344,0.997306382528
C31H52O,Na,463.391036604,0.999628205128,0.990162292078,0.993385034888
C31H64,Na,459.490022374,0.999628348071,0.990344035781,0.955695243017
C32H38O14,Na,669.215365709,0.999628490904,0.990481755011,0.964557516524
C32H42O13,K,673.225688449,0.999627057613,0.647812270531,0.92643617561
C32H53N2O4,K,568.363680771,0.999625758162,0.983284623338,0.967604942164
C32H60O5,Na,547.433295344,0.99962748876,0.987354373476,0.952037099076
C33H46O15,H,683.290935949,0.999574797062,0.988891538884,0.93614823852
C33H46O3,Na,513.333915654,0.999615236629,0.991985767867,0.998305687276
C33H47NO13,K,704.267887619,0.999627345155,0.988941975035,0.996699253811
C33H50N4O6S,K,669.308236446,0.999627918912,0.989421965476,0.99766980416
C33H57NO8,H,596.415693494,0.999626192318,0.989193405223,0.913154879794
C33H58N7O17P3S,Na,972.271483479,0.999627775639,0.989256057819,0.996903081414
C33H58O14,H,679.389921719,0.999627918912,0.989780030171,0.996461538903
C35H34N4O8,Na,661.226884414,0.999627775639,0.988736051471,0.961960566909
C35H54O8,Na,625.371089014,0.999627775639,0.991575913774,0.998335721238
C35H58O7,K,629.381401771,0.999625032325,0.66313724512,0.9169484445
C36H32O15,H,705.181385509,0.999628205128,0.987728477052,0.960103684512
C36H38N4O12,H,719.255887879,0.99962720144,0.991585945749,0.998002487108
C36H49N5O6,K,686.331431911,0.999627918912,0.984264669809,0.931160384121
C37H30O16,H,731.160650059,0.999628490904,0.989928751741,0.997621718843
C37H40N4O11,H,717.276623319,0.999504781421,0.880273687669,0.988167331544
C37H68O6,H,609.508865594,0.999627345155,0.991305141099,0.906248121724
C37H70O5,Na,617.511545664,0.999627632255,0.988497104582,0.944174823423
C38H34N4O6,Na,665.237055174,0.999624157595,0.771329437862,0.941870252747
C38H69NO13,H,748.484156459,0.999628490904,0.991184271297,0.997982871079
C39H72O5,Na,643.527195724,0.999627918912,0.99069089925,0.989044994243
C3H4Br2O,H,216.868120273,0.999627632255,0.927653392585,0.990148764072
C40H64,H,545.508077744,0.999628062075,0.991468591982,0.991011953943
C41H72O2,Na,619.542451864,0.999628205128,0.994898773834,0.998036194061
C41H78NO8P,K,782.509652009,0.999629345603,0.947895922874,0.982895244718
C41H81O19P3,H,971.465755019,0.999628776242,0.991468343171,0.997795188736
C42H38O12,H,735.243591839,0.999628776242,0.988262996374,0.953574553601
C42H70O16,Na,853.455595969,0.999628490904,0.98638327574,0.996681412797
C42H71O10P,K,805.441632009,0.999628490904,0.991455288441,0.996487024878
C42H72O15,Na,839.476331409,0.999625322997,0.721019477564,0.941989025251
C42H72O5,K,695.501122971,0.999628062075,0.991153920581,0.993212026887
C42H74O13P2,K,887.423597814,0.999628490904,0.993372839684,0.998905105553
C42H74O2,K,649.532029181,0.999626913676,0.806558678784,0.957021018426
C43H89N2O6P,K,799.608972129,0.999626047711,0.904931108295,0.980232629082
C44H80NO7P,H,766.574505579,0.999628490904,0.991360693118,0.987640802226
C44H81N3O15P2,H,954.521557079,0.999628348071,0.98880210055,0.996756319073
C44H84NO7P,H,770.605805709,0.999498616874,0.909942795277,0.973302704619
C45H44O9,H,729.305795123,0.999627632255,0.989788818473,0.998057673305
C45H72O14,K,875.455339384,0.999587682,0.624296176976,0.937454063409
C45H74O20,Na,957.466551533,0.999629345603,0.992262796854,0.99805119938
C45H76O21,Na,975.477116213,0.999483893931,0.69531233438,0.903552661281
C45H81O13P,Na,883.530685903,0.999627775639,0.989488091038,0.998723459156
C46H70O18,K,949.419347804,0.999628062075,0.990495406616,0.998874995026
C46H81O10P,Na,847.545942043,0.999627775639,0.988902916567,0.998074773394
C46H82O13P2,K,943.486198064,0.999628918746,0.992127164096,0.998771505728
C47H74O2,Na,693.558088373,0.999628348071,0.763554484735,0.970269653314
C47H78O2,H,675.607443873,0.999628062075,0.989206341894,0.948761486856
C47H80O18,Na,955.523672483,0.999494949495,0.895336631355,0.981294736455
C47H88O16P2,H,971.562021853,0.999628490904,0.990836192065,0.998130768842
C48H78O17,K,965.487028374,0.999628348071,0.99157109155,0.996477494533
C48H88O6,Na,783.647297303,0.999626481195,0.941838378072,0.904933559909
C4H4O4,K,154.974116524,0.999627345155,0.614501757804,0.981916298684
C50H88O,Na,727.672724203,0.999628062075,0.991009621553,0.996395020391
C50H95NO11S,H,918.669845733,0.999627057613,0.656094432819,0.882940456745
C51H102NO8P,K,926.697433054,0.999628490904,0.632955853822,0.897140818416
C51H76O16,K,983.476463684,0.999629203427,0.99310929448,0.996333121558
C51H96O15,K,987.638049704,0.999629345603,0.989523765371,0.996486835121
C52H98O6,H,819.743602993,0.999628633628,0.979753672213,0.99269711515
C53H102O6,Na,857.756847743,0.999628205128,0.948447973834,0.980053437323
C54H94O6,Na,861.694247493,0.999627918912,0.716182620689,0.960497725481
C57H106O6,H,887.806203243,0.999595405899,0.991240935456,0.997101822044
C57H108O5,Na,895.808883323,0.999628918746,0.993590465062,0.998503931636
C57H86O3,H,819.664958743,0.999627345155,0.990398752339,0.909294215048
C58H102O6,Na,917.756847743,0.99962748876,0.700689330956,0.956061601391
C59H112O5,K,939.814104014,0.999628348071,0.994305324961,0.995604558573
C59H98O5,H,887.748688373,0.999627345155,0.698668412037,0.868468299208
C60H116O5,K,955.845404144,0.999628490904,0.986712527446,0.994759145732
C61H102O6,K,969.730768314,0.999628062075,0.9866398433,0.87539655354
C61H106O6,H,935.806203243,0.999628348071,0.988548712027,0.997703053263
C61H98O6,K,965.699468194,0.999627345155,0.987185446608,0.994662411738
C62H100O6,K,979.715118254,0.999563599025,0.992012639383,0.939956702626
C62H106O5,K,969.767153824,0.999628205128,0.985932857422,0.995158647388
C62H96O6,K,975.683818124,0.999588636071,0.988853592479,0.994195110211
C63H110O6,Na,985.819448003,0.999626913676,0.680214386597,0.857719803028
C64H100O6,Na,987.741197683,0.999628348071,0.990032083341,0.997877516064
C6H11NO4,K,200.031965952,0.999628633628,0.957382994392,0.997458858039
C6H15N2O6P,H,243.074047884,0.999628062075,0.818536266009,0.98168127367
C7H16O13P2,H,371.013889477,0.999626769627,0.710097443732,0.975136352677
C8H13NO2,H,156.101903844,0.999626769627,0.982565255486,0.979859410482
C8H7NO2,Na,172.036898274,0.999628062075,0.914048129928,0.981610294883
C9H12N2O5,Na,251.063841304,0.999628490904,0.860432608477,0.981315024132
C9H4Cl3NO2S,Na,319.889056752,0.99962720144,0.964104379828,0.992036358359
C9H7NO3,Na,200.031812894,0.999628633628,0.897352208914,0.989055964535
